[2026-01-22 16:22:48] ============================================================
[2026-01-22 16:22:48] Updater started
[2026-01-22 16:22:48] Download URL: https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe
[2026-01-22 16:22:48] Target EXE: C:\Scr\TVL\dist\PreservationApp.exe
[2026-01-22 16:22:48] Version: 1.0.0
[2026-01-22 16:22:48] Expected SHA256: 758B2000587DBDE3...
[2026-01-22 16:22:48] Waiting for PreservationApp.exe to exit...
[2026-01-22 16:22:49] PreservationApp.exe has exited
[2026-01-22 16:22:50] Backup created: C:\Scr\TVL\dist\PreservationApp.exe.backup
[2026-01-22 16:22:50] Downloading from https://github.com/mahinkhan1408/TVL/releases/download/v1.0.0/PreservationApp.exe...
[2026-01-22 16:22:57] Downloaded 6144000/39971592 bytes (15.4%)
[2026-01-22 16:22:58] Downloaded 6225920/39971592 bytes (15.6%)
[2026-01-22 16:22:58] Downloaded 6307840/39971592 bytes (15.8%)
[2026-01-22 16:22:58] Downloaded 6389760/39971592 bytes (16.0%)
[2026-01-22 16:22:58] Downloaded 6471680/39971592 bytes (16.2%)
[2026-01-22 16:22:58] Downloaded 6553600/39971592 bytes (16.4%)
[2026-01-22 16:22:58] Downloaded 6635520/39971592 bytes (16.6%)
[2026-01-22 16:22:58] Downloaded 6717440/39971592 bytes (16.8%)
[2026-01-22 16:22:58] Downloaded 6799360/39971592 bytes (17.0%)
[2026-01-22 16:22:58] Downloaded 6881280/39971592 bytes (17.2%)
[2026-01-22 16:22:58] Downloaded 6963200/39971592 bytes (17.4%)
[2026-01-22 16:22:58] Downloaded 7045120/39971592 bytes (17.6%)
[2026-01-22 16:22:58] Downloaded 7127040/39971592 bytes (17.8%)
[2026-01-22 16:22:59] Downloaded 7208960/39971592 bytes (18.0%)
[2026-01-22 16:22:59] Downloaded 7290880/39971592 bytes (18.2%)
[2026-01-22 16:22:59] Downloaded 7372800/39971592 bytes (18.4%)
[2026-01-22 16:22:59] Downloaded 7454720/39971592 bytes (18.7%)
[2026-01-22 16:22:59] Downloaded 7536640/39971592 bytes (18.9%)
[2026-01-22 16:22:59] Downloaded 7618560/39971592 bytes (19.1%)
[2026-01-22 16:22:59] Downloaded 7700480/39971592 bytes (19.3%)
[2026-01-22 16:22:59] Downloaded 7782400/39971592 bytes (19.5%)
[2026-01-22 16:22:59] Downloaded 7864320/39971592 bytes (19.7%)
[2026-01-22 16:22:59] Downloaded 7946240/39971592 bytes (19.9%)
[2026-01-22 16:22:59] Downloaded 8028160/39971592 bytes (20.1%)
[2026-01-22 16:23:00] Downloaded 8110080/39971592 bytes (20.3%)
[2026-01-22 16:23:00] Downloaded 8192000/39971592 bytes (20.5%)
[2026-01-22 16:23:00] Downloaded 8273920/39971592 bytes (20.7%)
[2026-01-22 16:23:00] Downloaded 8355840/39971592 bytes (20.9%)
[2026-01-22 16:23:00] Downloaded 8437760/39971592 bytes (21.1%)
[2026-01-22 16:23:00] Downloaded 8519680/39971592 bytes (21.3%)
[2026-01-22 16:23:00] Downloaded 8601600/39971592 bytes (21.5%)
[2026-01-22 16:23:00] Downloaded 8683520/39971592 bytes (21.7%)
[2026-01-22 16:23:00] Downloaded 8765440/39971592 bytes (21.9%)
